language,hourOfDay,avgKeywordsCount
German,6,1.4167245772527217
German,7,1.403137789904502
German,8,1.4186484918793503
German,9,1.4155061596143546
German,10,1.4164033521088062
German,11,1.4220633028737915
German,12,1.4322420764314594
German,13,1.447181310309802
German,14,1.4511793050976414
German,15,1.4638724607868348
German,16,1.4404952076677315
German,17,1.4471040555624457
German,18,1.4356141096472588
German,19,1.4222027119305434
German,20,1.4144309822587624
German,21,1.4331001637148386
German,22,1.4067433770404068
German,23,1.4336428181321683
German,0,1.4495944380069525
German,1,1.4030710172744723
German,2,1.4016620498614958
German,3,1.3681318681318682
German,4,1.3410596026490067
German,5,1.4053030303030303
English,6,1.6276492082825822
English,7,1.6651601888118912
English,8,1.6563454360366474
English,9,1.6615237792269764
English,10,1.6553667893212245
English,11,1.6612166740315215
English,12,1.6556684163883018
English,13,1.6659530340536564
English,14,1.666580193268046
English,15,1.6848731480892731
English,16,1.6751533540003958
English,17,1.6764665757162347
English,18,1.6541541541541542
English,19,1.6527665004059855
English,20,1.6678408500317607
English,21,1.6701597121393852
English,22,1.6836223190073136
English,23,1.6633256853037073
English,0,1.6777081468218442
English,1,1.6782273603082851
English,2,1.6545748987854252
English,3,1.6746987951807228
English,4,1.671718031670356
English,5,1.6180154142581888
Spanish,6,1.6576587795765878
Spanish,7,1.6332399909180353
Spanish,8,1.6532646979138446
Spanish,9,1.6569082125603865
Spanish,10,1.6641332544486416
Spanish,11,1.6761831399547447
Spanish,12,1.6749517648394052
Spanish,13,1.67865225044003
Spanish,14,1.6699024918743228
Spanish,15,1.6792067251869398
Spanish,16,1.6737643692098754
Spanish,17,1.675288965833291
Spanish,18,1.6792690266455108
Spanish,19,1.6807032131614896
Spanish,20,1.6925708450344652
Spanish,21,1.6806045340050377
Spanish,22,1.657603025560772
Spanish,23,1.6355608591885442
Spanish,0,1.6128239499553172
Spanish,1,1.6046841731724628
Spanish,2,1.5632478632478632
Spanish,3,1.6009259259259259
Spanish,4,1.5798383993843785
Spanish,5,1.6294904907255223
French,6,1.7404580152671756
French,7,1.7193594073428478
French,8,1.7480295566502464
French,9,1.7331158721921567
French,10,1.7342086302137538
French,11,1.7679296346414073
French,12,1.7621428571428572
French,13,1.7399589147835943
French,14,1.7342147088571016
French,15,1.7858445822692448
French,16,1.806197593875319
French,17,1.8074338003077173
French,18,1.8261250497809638
French,19,1.8175729442970823
French,20,1.8153703967012655
French,21,1.7865628431666167
French,22,1.773793565683646
French,23,1.7258232235701907
French,0,1.7236842105263157
French,1,1.6458333333333333
French,2,1.7348754448398576
French,3,1.6744868035190617
French,4,1.7475247524752475
French,5,1.7734039034072113
