total_count,keyword_count,language,hour_of_day
582,1,de,0
351,1,de,1
256,1,de,2
384,1,de,3
874,1,de,4
1624,1,de,5
2988,1,de,6
4044,1,de,7
4735,1,de,8
5031,1,de,9
4885,1,de,10
4938,1,de,11
5020,1,de,12
4977,1,de,13
5061,1,de,14
4979,1,de,15
4918,1,de,16
5292,1,de,17
6188,1,de,18
6823,1,de,19
6274,1,de,20
4548,1,de,21
2529,1,de,22
1213,1,de,23
3235,1,en,0
3019,1,en,1
3124,1,en,2
3078,1,en,3
2925,1,en,4
3270,1,en,5
4264,1,en,6
5022,1,en,7
5942,1,en,8
6281,1,en,9
6383,1,en,10
6449,1,en,11
7067,1,en,12
7161,1,en,13
7382,1,en,14
7516,1,en,15
7265,1,en,16
6988,1,en,17
7837,1,en,18
8392,1,en,19
8210,1,en,20
7460,1,en,21
5690,1,en,22
4077,1,en,23
2377,1,es,0
1560,1,es,1
1360,1,es,2
1249,1,es,3
1448,1,es,4
2230,1,es,5
4054,1,es,6
6865,1,es,7
9238,1,es,8
10139,1,es,9
10816,1,es,10
9635,1,es,11
8199,1,es,12
9214,1,es,13
10760,1,es,14
10293,1,es,15
9980,1,es,16
9539,1,es,17
8843,1,es,18
8145,1,es,19
9206,1,es,20
9468,1,es,21
7345,1,es,22
4248,1,es,23
648,1,fr,0
488,1,fr,1
273,1,fr,2
341,1,fr,3
564,1,fr,4
1331,1,fr,5
2623,1,fr,6
4473,1,fr,7
5753,1,fr,8
6479,1,fr,9
6033,1,fr,10
6017,1,fr,11
6218,1,fr,12
6490,1,fr,13
6294,1,fr,14
6175,1,fr,15
5916,1,fr,16
5293,1,fr,17
5325,1,fr,18
6410,1,fr,19
5942,1,fr,20
4444,1,fr,21
2706,1,fr,22
1382,1,fr,23
480,2,de,0
282,2,de,1
164,2,de,2
246,2,de,3
566,2,de,4
1072,2,de,5
2112,2,de,6
2758,2,de,7
3344,2,de,8
3840,2,de,9
3702,2,de,10
3728,2,de,11
3752,2,de,12
3928,2,de,13
3884,2,de,14
4158,2,de,15
3866,2,de,16
4034,2,de,17
4776,2,de,18
5138,2,de,19
4680,2,de,20
3404,2,de,21
1854,2,de,22
960,2,de,23
5126,2,en,0
4774,2,en,1
4510,2,en,2
4510,2,en,3
4256,2,en,4
4434,2,en,5
5896,2,en,6
7424,2,en,7
8904,2,en,8
9578,2,en,9
9640,2,en,10
10106,2,en,11
10812,2,en,12
11234,2,en,13
11312,2,en,14
12166,2,en,15
11984,2,en,16
11710,2,en,17
12618,2,en,18
13796,2,en,19
13884,2,en,20
12910,2,en,21
10014,2,en,22
6492,2,en,23
3002,2,es,0
1766,2,es,1
1474,2,es,2
1310,2,es,3
1670,2,es,4
2938,2,es,5
6032,2,es,6
9970,2,es,7
14018,2,es,8
16046,2,es,9
16712,2,es,10
15352,2,es,11
13254,2,es,12
14686,2,es,13
16906,2,es,14
16278,2,es,15
15544,2,es,16
15094,2,es,17
13764,2,es,18
12796,2,es,19
15218,2,es,20
15414,2,es,21
11764,2,es,22
6084,2,es,23
1012,2,fr,0
686,2,fr,1
408,2,fr,2
488,2,fr,3
864,2,fr,4
2270,2,fr,5
3936,2,fr,6
6706,2,fr,7
8924,2,fr,8
9746,2,fr,9
9164,2,fr,10
9206,2,fr,11
10048,2,fr,12
9800,2,fr,13
9624,2,fr,14
9902,2,fr,15
10556,2,fr,16
9434,2,fr,17
9806,2,fr,18
11662,2,fr,19
10896,2,fr,20
7612,2,fr,21
4560,2,fr,22
2030,2,fr,23
162,3,de,0
66,3,de,1
84,3,de,2
78,3,de,3
156,3,de,4
459,3,de,5
792,3,de,6
1059,3,de,7
1269,3,de,8
1314,3,de,9
1287,3,de,10
1467,3,de,11
1500,3,de,12
1476,3,de,13
1533,3,de,14
1635,3,de,15
1476,3,de,16
1761,3,de,17
1896,3,de,18
1839,3,de,19
1686,3,de,20
1380,3,de,21
618,3,de,22
306,3,de,23
2136,3,en,0
2190,3,en,1
2082,3,en,2
1977,3,en,3
1980,3,en,4
1950,3,en,5
2556,3,en,6
3360,3,en,7
3789,3,en,8
3819,3,en,9
3870,3,en,10
4119,3,en,11
4410,3,en,12
4485,3,en,13
4674,3,en,14
5148,3,en,15
4890,3,en,16
4878,3,en,17
4767,3,en,18
5019,3,en,19
5205,3,en,20
4746,3,en,21
3672,3,en,22
2607,3,en,23
1398,3,es,0
981,3,es,1
756,3,es,2
843,3,es,3
828,3,es,4
1452,3,es,5
2739,3,es,6
4209,3,es,7
5949,3,es,8
6741,3,es,9
7362,3,es,10
6834,3,es,11
5649,3,es,12
6567,3,es,13
7407,3,es,14
7143,3,es,15
6798,3,es,16
6504,3,es,17
6147,3,es,18
6012,3,es,19
6804,3,es,20
6870,3,es,21
4761,3,es,22
2616,3,es,23
525,3,fr,0
288,3,fr,1
198,3,fr,2
243,3,fr,3
501,3,fr,4
1236,3,fr,5
2298,3,fr,6
3588,3,fr,7
5004,3,fr,8
5418,3,fr,9
4932,3,fr,10
5487,3,fr,11
5643,3,fr,12
5442,3,fr,13
5349,3,fr,14
5775,3,fr,15
6015,3,fr,16
5415,3,fr,17
5703,3,fr,18
6777,3,fr,19
6273,3,fr,20
4431,3,fr,21
2442,3,fr,22
1209,3,fr,23
68,4,de,0
20,4,de,1
8,4,de,2
16,4,de,3
16,4,de,4
96,4,de,5
156,4,de,6
208,4,de,7
356,4,de,8
324,4,de,9
388,4,de,10
292,4,de,11
360,4,de,12
364,4,de,13
396,4,de,14
368,4,de,15
376,4,de,16
376,4,de,17
436,4,de,18
476,4,de,19
392,4,de,20
332,4,de,21
176,4,de,22
108,4,de,23
540,4,en,0
392,4,en,1
492,4,en,2
552,4,en,3
440,4,en,4
380,4,en,5
628,4,en,6
812,4,en,7
848,4,en,8
984,4,en,9
908,4,en,10
952,4,en,11
984,4,en,12
1096,4,en,13
1172,4,en,14
1236,4,en,15
1004,4,en,16
952,4,en,17
1076,4,en,18
1008,4,en,19
1032,4,en,20
988,4,en,21
820,4,en,22
580,4,en,23
216,4,es,0
116,4,es,1
108,4,es,2
80,4,es,3
128,4,es,4
264,4,es,5
552,4,es,6
880,4,es,7
1064,4,es,8
1164,4,es,9
1404,4,es,10
1304,4,es,11
1052,4,es,12
1232,4,es,13
1368,4,es,14
1528,4,es,15
1316,4,es,16
1220,4,es,17
1220,4,es,18
1108,4,es,19
1224,4,es,20
1132,4,es,21
900,4,es,22
408,4,es,23
148,4,fr,0
48,4,fr,1
64,4,fr,2
72,4,fr,3
140,4,fr,4
372,4,fr,5
712,4,fr,6
996,4,fr,7
1396,4,fr,8
1624,4,fr,9
1392,4,fr,10
1700,4,fr,11
1552,4,fr,12
1620,4,fr,13
1444,4,fr,14
1808,4,fr,15
1680,4,fr,16
1616,4,fr,17
1616,4,fr,18
1912,4,fr,19
1852,4,fr,20
1236,4,fr,21
740,4,fr,22
312,4,fr,23
5,5,de,0
5,5,de,2
5,5,de,4
15,5,de,5
50,5,de,6
70,5,de,7
65,5,de,8
60,5,de,9
60,5,de,10
90,5,de,11
115,5,de,12
135,5,de,13
130,5,de,14
105,5,de,15
85,5,de,16
95,5,de,17
90,5,de,18
100,5,de,19
105,5,de,20
80,5,de,21
35,5,de,22
5,5,de,23
90,5,en,0
75,5,en,1
80,5,en,2
100,5,en,3
105,5,en,4
70,5,en,5
85,5,en,6
190,5,en,7
190,5,en,8
235,5,en,9
235,5,en,10
225,5,en,11
265,5,en,12
320,5,en,13
255,5,en,14
315,5,en,15
210,5,en,16
220,5,en,17
220,5,en,18
290,5,en,19
225,5,en,20
165,5,en,21
225,5,en,22
130,5,en,23
70,5,es,0
50,5,es,1
30,5,es,2
10,5,es,3
5,5,es,4
45,5,es,5
115,5,es,6
155,5,es,7
300,5,es,8
335,5,es,9
280,5,es,10
280,5,es,11
265,5,es,12
255,5,es,13
360,5,es,14
285,5,es,15
330,5,es,16
300,5,es,17
290,5,es,18
205,5,es,19
365,5,es,20
315,5,es,21
175,5,es,22
90,5,es,23
50,5,fr,0
25,5,fr,1
40,5,fr,2
20,5,fr,3
35,5,fr,4
90,5,fr,5
170,5,fr,6
280,5,fr,7
385,5,fr,8
400,5,fr,9
415,5,fr,10
435,5,fr,11
365,5,fr,12
325,5,fr,13
315,5,fr,14
520,5,fr,15
520,5,fr,16
485,5,fr,17
500,5,fr,18
550,5,fr,19
460,5,fr,20
320,5,fr,21
215,5,fr,22
85,5,fr,23
6,6,de,3
30,6,de,6
24,6,de,7
24,6,de,8
18,6,de,9
18,6,de,10
18,6,de,11
6,6,de,12
30,6,de,13
30,6,de,14
18,6,de,15
18,6,de,16
36,6,de,17
36,6,de,18
18,6,de,19
30,6,de,20
24,6,de,21
12,6,de,22
12,6,de,23
30,6,en,0
24,6,en,1
12,6,en,2
30,6,en,3
12,6,en,4
36,6,en,5
12,6,en,6
42,6,en,7
114,6,en,8
108,6,en,9
54,6,en,10
54,6,en,11
78,6,en,12
60,6,en,13
84,6,en,14
42,6,en,15
66,6,en,16
60,6,en,17
60,6,en,18
60,6,en,19
66,6,en,20
72,6,en,21
48,6,en,22
36,6,en,23
36,6,es,0
30,6,es,1
6,6,es,2
12,6,es,3
36,6,es,6
54,6,es,7
78,6,es,8
72,6,es,9
144,6,es,10
102,6,es,11
108,6,es,12
114,6,es,13
162,6,es,14
96,6,es,15
102,6,es,16
132,6,es,17
150,6,es,18
78,6,es,19
96,6,es,20
108,6,es,21
72,6,es,22
48,6,es,23
6,6,fr,0
12,6,fr,1
30,6,fr,6
66,6,fr,7
102,6,fr,8
114,6,fr,9
120,6,fr,10
162,6,fr,11
120,6,fr,12
132,6,fr,13
150,6,fr,14
108,6,fr,15
156,6,fr,16
162,6,fr,17
174,6,fr,18
162,6,fr,19
132,6,fr,20
48,6,fr,21
54,6,fr,22
12,6,fr,23
7,7,de,3
14,7,de,6
14,7,de,7
21,7,de,8
21,7,de,9
7,7,de,10
14,7,de,11
28,7,de,13
14,7,de,14
14,7,de,15
7,7,de,16
7,7,de,19
7,7,de,20
7,7,de,23
14,7,en,0
21,7,en,3
14,7,en,4
7,7,en,5
7,7,en,6
21,7,en,7
21,7,en,8
21,7,en,9
49,7,en,10
35,7,en,11
21,7,en,12
49,7,en,13
56,7,en,14
14,7,en,15
35,7,en,16
14,7,en,17
7,7,en,18
35,7,en,19
28,7,en,20
28,7,en,21
21,7,en,22
14,7,en,23
28,7,es,0
7,7,es,1
7,7,es,2
14,7,es,4
7,7,es,5
14,7,es,7
35,7,es,8
28,7,es,9
28,7,es,10
28,7,es,11
28,7,es,12
14,7,es,13
28,7,es,14
35,7,es,15
42,7,es,16
42,7,es,17
42,7,es,18
28,7,es,19
14,7,es,20
63,7,es,21
21,7,es,22
21,7,es,23
7,7,fr,5
14,7,fr,7
14,7,fr,8
28,7,fr,9
14,7,fr,10
49,7,fr,11
70,7,fr,12
35,7,fr,13
7,7,fr,14
21,7,fr,15
63,7,fr,16
42,7,fr,17
49,7,fr,18
21,7,fr,19
42,7,fr,20
42,7,fr,21
7,7,fr,22
8,8,de,8
16,8,de,10
8,8,de,12
8,8,de,14
8,8,de,20
16,8,en,1
8,8,en,3
8,8,en,5
8,8,en,6
16,8,en,8
16,8,en,9
16,8,en,10
16,8,en,11
24,8,en,12
16,8,en,13
32,8,en,14
16,8,en,15
8,8,en,16
8,8,en,17
8,8,en,19
24,8,en,20
8,8,es,6
8,8,es,7
24,8,es,8
24,8,es,9
32,8,es,10
16,8,es,12
16,8,es,13
24,8,es,14
24,8,es,15
40,8,es,16
32,8,es,17
8,8,es,18
24,8,es,19
24,8,es,20
24,8,es,21
16,8,es,22
32,8,es,23
16,8,fr,6
8,8,fr,7
24,8,fr,8
24,8,fr,9
24,8,fr,10
8,8,fr,11
16,8,fr,12
24,8,fr,13
16,8,fr,15
16,8,fr,16
8,8,fr,17
24,8,fr,18
16,8,fr,19
8,8,fr,21
9,9,de,16
18,9,en,3
27,9,en,4
9,9,en,7
9,9,en,9
27,9,en,10
9,9,en,12
9,9,en,14
9,9,en,16
9,9,en,19
9,9,en,21
9,9,en,22
9,9,en,23
9,9,es,1
9,9,es,5
9,9,es,7
9,9,es,8
9,9,es,10
18,9,es,11
18,9,es,13
9,9,es,14
9,9,es,15
9,9,es,16
9,9,es,17
9,9,es,19
9,9,es,22
18,9,fr,7
18,9,fr,8
9,9,fr,10
18,9,fr,11
9,9,fr,14
9,9,fr,19
10,10,en,0
10,10,en,3
10,10,en,4
10,10,en,5
10,10,en,7
10,10,en,9
10,10,en,11
10,10,en,14
10,10,en,17
20,10,en,20
10,10,es,3
10,10,es,7
20,10,es,9
10,10,es,12
20,10,es,17
10,10,es,21
10,10,fr,5
10,10,fr,13
20,10,fr,15
10,10,fr,22
11,11,de,6
11,11,de,13
11,11,de,18
11,11,en,7
11,11,en,17
11,11,en,19
11,11,en,20
11,11,es,0
11,11,es,5
11,11,es,6
11,11,es,12
11,11,es,15
11,11,es,18
33,11,es,19
11,11,es,20
11,11,fr,11
11,11,fr,14
11,11,fr,15
12,12,es,10
12,12,es,11
12,12,es,12
24,12,es,13
12,12,fr,14
13,13,en,21
13,13,en,22
14,14,en,5
16,16,en,3
