,Queries,Dates,Values,Finds
0,top,2017-05,51963,12563
1,top,2017-06,46910,11636
2,camiseta,2017-05,42355,5973
3,camiseta,2017-07,39357,7038
4,top,2017-07,37884,9318
5,camiseta,2017-06,37078,6142
6,mono,2017-07,34318,9132
7,body,2016-12,29324,2481
8,mono,2017-06,28960,7204
9,body,2017-06,24139,6788
10,top,2017-04,23232,7398
11,pantalon,2017-05,23105,3149
12,camiseta,2017-08,22629,5278
13,body,2017-07,22478,9015
14,vestido,2017-06,22450,4468
15,vestido,2017-07,21664,4068
16,camiseta,2017-04,20672,3670
17,body,2017-05,19382,5465
18,vestido,2017-05,18489,3664
19,body,2017-01,18272,1953
20,top,2017-08,17656,5085
21,pantalon,2017-07,16727,2593
22,body,2016-11,16702,1750
23,camiseta,2017-01,15214,1806
24,pantalon,2017-06,14548,2055
25,mono,2017-05,13957,4579
26,camiseta,2017-03,13641,2672
27,top,2017-03,12361,4527
28,body,2017-04,12299,3851
29,pantalon,2017-08,11962,2669
30,camiseta,2017-09,11846,3145
31,top,2017-01,10824,1050
32,mono,2017-08,10768,3031
33,top,2016-12,10670,818
34,body,2017-08,9952,3472
35,pantalon,2017-09,8999,2332
36,top,2017-09,8888,2510
37,top,2016-11,8784,578
38,top,2016-10,8552,471
39,vestido,2017-08,8545,2013
40,body,2017-03,8499,2980
41,pantalon,2017-04,8440,1344
42,body,2017-09,8195,2292
43,camiseta,2016-11,8009,1046
44,body,2016-10,7439,772
45,vestido,2017-01,7304,1182
46,vestido,2017-04,6865,1781
47,pantalon,2017-03,6638,1309
48,camiseta,2016-12,6579,703
49,camiseta,2016-10,6371,693
50,pantalon,2017-01,5950,860
51,vestido,2016-12,5402,873
52,vestido,2017-03,5285,1770
53,camiseta,2017-02,4958,683
54,top,2017-02,4616,569
55,pantalon,2016-11,4240,543
56,body,2017-02,3972,1146
57,vestido,2016-11,3958,692
58,pantalon,2016-12,3496,390
59,mono,2017-01,3456,500
60,vestido,2017-09,3326,1097
61,mono,2017-04,3165,1173
62,mono,2017-09,2746,886
63,vestido,2017-02,2547,402
64,vestido,2016-10,2494,265
65,pantalon,2017-02,2470,409
66,pantalon,2016-10,2421,314
67,mono,2016-12,2364,468
68,mono,2016-11,1780,398
69,mono,2017-03,1709,636
70,mono,2016-10,809,133
71,mono,2017-02,800,131
